t(s),U1(V),U2(V)
"0,193000","0,015779","0,036820"
"0,194000","0,015779","0,042080"
"0,195000","0,015779","0,042080"
"0,196000","0,015779","0,042080"
"0,197000","0,015779","0,042080"
"0,198000","0,015779","0,042080"
"0,199000","0,015779","0,042080"
"0,200000","0,015779","0,042080"
"0,201000","0,015779","0,042080"
"0,202000","0,015779","0,042080"
"0,203000","0,015779","0,042080"
"0,204000","0,015779","0,042080"
"0,205000","0,015779","0,042080"
"0,206000","0,015779","0,042080"
"0,207000","0,015779","0,042080"
"0,208000","0,015779","0,042080"
"0,209000","0,015779","0,042080"
"0,210000","0,015779","0,042080"
"0,211000","0,015779","0,042080"
"0,212000","0,015779","0,042080"
"0,213000","0,015779","0,042080"
"0,214000","0,015779","0,042080"
"0,215000","0,015779","0,042080"
"0,216000","0,015779","0,042080"
"0,217000","0,015779","0,042080"
"0,218000","0,015779","0,042080"
"0,219000","0,015779","0,047340"
"0,220000","0,015779","0,047340"
"0,221000","0,015779","0,047340"
"0,222000","0,015779","0,047340"
"0,223000","0,021039","0,047340"
"0,224000","0,015779","0,042080"
"0,225000","0,015779","0,047340"
"0,226000","0,015779","0,042080"
"0,227000","0,015779","0,042080"
"0,228000","0,015779","0,047340"
"0,229000","0,015779","0,047340"
"0,230000","0,015779","0,047340"
"0,231000","0,015779","0,047340"
"0,232000","0,015779","0,047340"
"0,233000","0,015779","0,047340"
"0,234000","0,021039","0,047340"
"0,235000","0,015779","0,047340"
"0,236000","0,015779","0,047340"
"0,237000","0,021039","0,047340"
"0,238000","0,021039","0,047340"
"0,239000","0,021039","0,047340"
"0,240000","0,021039","0,047340"
"0,241000","0,021039","0,047340"
"0,242000","0,021039","0,047340"
"0,243000","0,021039","0,047340"
"0,244000","0,021039","0,047340"
"0,245000","0,015779","0,047340"
"0,246000","0,021039","0,047340"
"0,247000","0,021039","0,052600"
"0,248000","0,021039","0,047340"
"0,249000","0,021039","0,047340"
"0,250000","0,021039","0,047340"
"0,251000","0,021039","0,047340"
"0,252000","0,021039","0,047340"
"0,253000","0,021039","0,047340"
"0,254000","0,021039","0,047340"
"0,255000","0,021039","0,047340"
"0,256000","0,021039","0,047340"
"0,257000","0,021039","0,047340"
"0,258000","0,015779","0,052600"
"0,259000","0,021039","0,047340"
"0,260000","0,021039","0,047340"
"0,261000","0,021039","0,047340"
"0,262000","0,021039","0,047340"
"0,263000","0,021039","0,047340"
"0,264000","0,021039","0,047340"
"0,265000","0,021039","0,052600"
"0,266000","0,021039","0,052600"
"0,267000","0,021039","0,052600"
"0,268000","0,021039","0,047340"
"0,269000","0,021039","0,047340"
"0,270000","0,021039","0,052600"
"0,271000","0,021039","0,052600"
"0,272000","0,021039","0,052600"
"0,273000","0,021039","0,052600"
"0,274000","0,021039","0,047340"
"0,275000","0,015779","0,052600"
"0,276000","0,021039","0,052600"
"0,277000","0,021039","0,052600"
"0,278000","0,021039","0,052600"
"0,279000","0,021039","0,047340"
"0,280000","0,021039","0,052600"
"0,281000","0,021039","0,052600"
"0,282000","0,021039","0,052600"
"0,283000","0,021039","0,052600"
"0,284000","0,021039","0,052600"
"0,285000","0,021039","0,052600"
"0,286000","0,021039","0,052600"
"0,287000","0,021039","0,052600"
"0,288000","0,021039","0,052600"
"0,289000","0,021039","0,052600"
"0,290000","0,021039","0,052600"
"0,291000","0,021039","0,052600"
"0,292000","0,021039","0,052600"
"0,293000","0,021039","0,052600"
"0,294000","0,021039","0,052600"
"0,295000","0,021039","0,052600"
"0,296000","0,021039","0,052600"
"0,297000","0,021039","0,057860"
"0,298000","0,021039","0,052600"
"0,299000","0,021039","0,052600"
"0,300000","0,021039","0,052600"
"0,301000","0,021039","0,052600"
"0,302000","0,021039","0,052600"
"0,303000","0,021039","0,052600"
"0,304000","0,021039","0,052600"
"0,305000","0,021039","0,052600"
"0,306000","0,021039","0,052600"
"0,307000","0,021039","0,052600"
"0,308000","0,021039","0,057860"
"0,309000","0,021039","0,052600"
"0,310000","0,021039","0,052600"
"0,311000","0,021039","0,052600"
"0,312000","0,021039","0,057860"
"0,313000","0,021039","0,057860"
"0,314000","0,026298","0,052600"
"0,315000","0,021039","0,052600"
"0,316000","0,021039","0,057860"
"0,317000","0,026298","0,052600"
"0,318000","0,021039","0,052600"
"0,319000","0,021039","0,052600"
"0,320000","0,026298","0,052600"
"0,321000","0,021039","0,052600"
"0,322000","0,026298","0,052600"
"0,323000","0,026298","0,052600"
"0,324000","0,026298","0,052600"
"0,325000","0,021039","0,052600"
"0,326000","0,021039","0,052600"
"0,327000","0,021039","0,052600"
"0,328000","0,021039","0,052600"
"0,329000","0,026298","0,052600"
"0,330000","0,021039","0,052600"
"0,331000","0,026298","0,057860"
"0,332000","0,021039","0,052600"
"0,333000","0,021039","0,052600"
"0,334000","0,021039","0,057860"
"0,335000","0,021039","0,052600"
"0,336000","0,026298","0,052600"
"0,337000","0,021039","0,057860"
"0,338000","0,021039","0,052600"
"0,339000","0,021039","0,052600"
"0,340000","0,021039","0,057860"
"0,341000","0,026298","0,052600"
"0,342000","0,021039","0,057860"
"0,343000","0,021039","0,052600"
"0,344000","0,021039","0,052600"
"0,345000","0,021039","0,057860"
"0,346000","0,026298","0,052600"
"0,347000","0,021039","0,057860"
"0,348000","0,021039","0,052600"
"0,349000","0,021039","0,052600"
"0,350000","0,021039","0,057860"
"0,351000","0,026298","0,052600"
"0,352000","0,021039","0,057860"
"0,353000","0,021039","0,052600"
"0,354000","0,026298","0,057860"
"0,355000","0,021039","0,052600"
"0,356000","0,026298","0,057860"
"0,357000","0,021039","0,052600"
"0,358000","0,021039","0,052600"
"0,359000","0,021039","0,057860"
"0,360000","0,021039","0,057860"
"0,361000","0,021039","0,052600"
"0,362000","0,021039","0,052600"
"0,363000","0,021039","0,052600"
"0,364000","0,021039","0,052600"
"0,365000","0,021039","0,057860"
"0,366000","0,021039","0,052600"
"0,367000","0,021039","0,057860"
"0,368000","0,021039","0,052600"
"0,369000","0,021039","0,052600"
"0,370000","0,021039","0,052600"
"0,371000","0,015779","0,052600"
"0,372000","0,021039","0,057860"
"0,373000","0,021039","0,057860"
"0,374000","0,021039","0,057860"
"0,375000","0,021039","0,057860"
"0,376000","0,021039","0,052600"
"0,377000","0,021039","0,052600"
"0,378000","0,021039","0,052600"
"0,379000","0,021039","0,052600"
"0,380000","0,021039","0,052600"
"0,381000","0,021039","0,057860"
"0,382000","0,021039","0,052600"
"0,383000","0,021039","0,052600"
"0,384000","0,021039","0,052600"
"0,385000","0,021039","0,052600"
"0,386000","0,021039","0,052600"
"0,387000","0,021039","0,052600"
"0,388000","0,021039","0,052600"
"0,389000","0,021039","0,052600"
"0,390000","0,021039","0,052600"
"0,391000","0,015779","0,052600"
"0,392000","0,021039","0,052600"
"0,393000","0,021039","0,052600"
"0,394000","0,015779","0,052600"
"0,395000","0,015779","0,052600"
"0,396000","0,021039","0,052600"
"0,397000","0,021039","0,052600"
"0,398000","0,021039","0,052600"
"0,399000","0,021039","0,052600"
"0,400000","0,015779","0,052600"
"0,401000","0,021039","0,052600"
"0,402000","0,021039","0,052600"
"0,403000","0,015779","0,052600"
"0,404000","0,015779","0,052600"
"0,405000","0,021039","0,052600"
"0,406000","0,021039","0,052600"
"0,407000","0,021039","0,052600"
"0,408000","0,015779","0,052600"
"0,409000","0,015779","0,052600"
"0,410000","0,015779","0,052600"
"0,411000","0,015779","0,052600"
"0,412000","0,021039","0,052600"
"0,413000","0,021039","0,052600"
"0,414000","0,015779","0,052600"
"0,415000","0,021039","0,057860"
"0,416000","0,021039","0,047340"
"0,417000","0,015779","0,052600"
"0,418000","0,015779","0,052600"
"0,419000","0,015779","0,052600"
"0,420000","0,015779","0,052600"
"0,421000","0,015779","0,052600"
"0,422000","0,015779","0,052600"
"0,423000","0,015779","0,052600"
"0,424000","0,021039","0,052600"
"0,425000","0,015779","0,052600"
"0,426000","0,015779","0,052600"
"0,427000","0,015779","0,052600"
"0,428000","0,015779","0,052600"
"0,429000","0,015779","0,052600"
"0,430000","0,015779","0,052600"
"0,431000","0,015779","0,047340"
"0,432000","0,015779","0,052600"
"0,433000","0,015779","0,052600"
"0,434000","0,015779","0,052600"
"0,435000","0,015779","0,052600"
"0,436000","0,015779","0,052600"
"0,437000","0,015779","0,052600"
"0,438000","0,015779","0,047340"
"0,439000","0,015779","0,052600"
"0,440000","0,015779","0,052600"
"0,441000","0,015779","0,052600"
"0,442000","0,015779","0,052600"
"0,443000","0,015779","0,052600"
"0,444000","0,015779","0,052600"
"0,445000","0,015779","0,047340"
"0,446000","0,015779","0,047340"
"0,447000","0,015779","0,052600"
"0,448000","0,015779","0,047340"
"0,449000","0,015779","0,047340"
"0,450000","0,015779","0,047340"
"0,451000","0,015779","0,047340"
"0,452000","0,015779","0,052600"
"0,453000","0,015779","0,047340"
"0,454000","0,015779","0,052600"
"0,455000","0,015779","0,047340"
"0,456000","0,015779","0,047340"
"0,457000","0,015779","0,047340"
"0,458000","0,015779","0,052600"
"0,459000","0,015779","0,047340"
"0,460000","0,015779","0,047340"
"0,461000","0,015779","0,047340"
"0,462000","0,010519","0,047340"
"0,463000","0,010519","0,047340"
"0,464000","0,015779","0,047340"
"0,465000","0,010519","0,047340"
"0,466000","0,015779","0,047340"
"0,467000","0,010519","0,047340"
"0,468000","0,015779","0,052600"
"0,469000","0,010519","0,047340"
"0,470000","0,010519","0,047340"
"0,471000","0,010519","0,047340"
"0,472000","0,010519","0,047340"
"0,473000","0,015779","0,047340"
"0,474000","0,010519","0,052600"
"0,475000","0,010519","0,047340"
"0,476000","0,010519","0,047340"
"0,477000","0,010519","0,047340"
"0,478000","0,010519","0,047340"
"0,479000","0,010519","0,047340"
"0,480000","0,010519","0,042080"
"0,481000","0,010519","0,047340"
"0,482000","0,010519","0,047340"
"0,483000","0,010519","0,047340"
"0,484000","0,010519","0,042080"
"0,485000","0,010519","0,042080"
"0,486000","0,010519","0,047340"
"0,487000","0,010519","0,042080"
"0,488000","0,010519","0,042080"
"0,489000","0,010519","0,047340"
"0,490000","0,010519","0,042080"
"0,491000","0,010519","0,042080"
"0,492000","0,010519","0,047340"
"0,493000","0,010519","0,042080"
"0,494000","0,010519","0,042080"
"0,495000","0,010519","0,047340"
"0,496000","0,010519","0,042080"
"0,497000","0,010519","0,042080"
"0,498000","0,005260","0,042080"
"0,499000","0,005260","0,042080"
"0,500000","0,005260","0,042080"
"0,501000","0,010519","0,042080"
"0,502000","0,010519","0,042080"
"0,503000","0,010519","0,042080"
"0,504000","0,005260","0,042080"
"0,505000","0,005260","0,042080"
"0,506000","0,005260","0,042080"
"0,507000","0,005260","0,042080"
"0,508000","0,005260","0,042080"
"0,509000","0,005260","0,042080"
"0,510000","0,005260","0,042080"
"0,511000","0,005260","0,042080"
"0,512000","0,005260","0,042080"
"0,513000","0,005260","0,042080"
"0,514000","0,005260","0,042080"
"0,515000","0,010519","0,042080"
"0,516000","0,005260","0,042080"
"0,517000","0,005260","0,036820"
"0,518000","0,005260","0,036820"
"0,519000","0,005260","0,042080"
"0,520000","0,005260","0,042080"
"0,521000","0,005260","0,042080"
"0,522000","0,005260","0,036820"
"0,523000","0,005260","0,042080"
"0,524000","0,005260","0,042080"
"0,525000","0,005260","0,036820"
"0,526000","0,005260","0,036820"
"0,527000","0,005260","0,042080"
"0,528000","0,000000","0,036820"
"0,529000","0,005260","0,036820"
"0,530000","0,000000","0,036820"
"0,531000","0,005260","0,036820"
"0,532000","0,005260","0,036820"
"0,533000","0,000000","0,036820"
"0,534000","0,000000","0,036820"
"0,535000","0,005260","0,042080"
"0,536000","0,000000","0,036820"
"0,537000","0,000000","0,036820"
"0,538000","0,000000","0,036820"
"0,539000","0,005260","0,031560"
"0,540000","0,000000","0,036820"
"0,541000","0,000000","0,031560"
"0,542000","0,000000","0,036820"
"0,543000","0,005260","0,036820"
"0,544000","0,000000","0,036820"
"0,545000","0,000000","0,031560"
"0,546000","0,000000","0,036820"
"0,547000","0,005260","0,036820"
"0,548000","0,000000","0,036820"
"0,549000","0,000000","0,036820"
"0,550000","0,000000","0,031560"
"0,551000","0,000000","0,031560"
"0,552000","0,000000","0,036820"
"0,553000","0,000000","0,031560"
"0,554000","0,000000","0,031560"
"0,555000","0,000000","0,031560"
"0,556000","0,000000","0,031560"
"0,557000","0,000000","0,031560"
"0,558000","0,000000","0,031560"
"0,559000","0,000000","0,031560"
"0,560000","0,000000","0,031560"
"0,561000","-0,005260","0,031560"
"0,562000","0,000000","0,031560"
"0,563000","-0,005260","0,031560"
"0,564000","0,000000","0,031560"
"0,565000","0,000000","0,026300"
"0,566000","0,000000","0,031560"
"0,567000","-0,005260","0,031560"
"0,568000","0,000000","0,031560"
"0,569000","0,000000","0,031560"
"0,570000","-0,005260","0,031560"
"0,571000","-0,005260","0,031560"
"0,572000","0,000000","0,031560"
"0,573000","-0,005260","0,026300"
"0,574000","-0,005260","0,031560"
"0,575000","-0,005260","0,026300"
"0,576000","-0,005260","0,026300"
"0,577000","-0,005260","0,026300"
"0,578000","0,000000","0,026300"
"0,579000","-0,005260","0,026300"
"0,580000","-0,005260","0,026300"
"0,581000","-0,005260","0,026300"
"0,582000","-0,005260","0,026300"
"0,583000","-0,005260","0,026300"
"0,584000","-0,005260","0,026300"
"0,585000","-0,005260","0,026300"
"0,586000","0,000000","0,026300"
"0,587000","-0,005260","0,026300"
"0,588000","-0,005260","0,026300"
"0,589000","-0,005260","0,026300"
"0,590000","-0,005260","0,026300"
"0,591000","-0,005260","0,026300"
"0,592000","-0,005260","0,026300"
"0,593000","-0,010519","0,026300"
"0,594000","-0,005260","0,026300"
"0,595000","-0,005260","0,026300"
"0,596000","-0,010519","0,026300"
"0,597000","-0,010519","0,021040"
"0,598000","-0,010519","0,026300"
"0,599000","-0,010519","0,021040"
"0,600000","-0,010519","0,021040"
"0,601000","-0,010519","0,026300"
"0,602000","-0,010519","0,026300"
"0,603000","-0,010519","0,021040"
"0,604000","-0,010519","0,026300"
"0,605000","-0,010519","0,021040"
"0,606000","-0,010519","0,021040"
"0,607000","-0,010519","0,021040"
"0,608000","-0,010519","0,021040"
"0,609000","-0,010519","0,021040"
"0,610000","-0,010519","0,021040"
"0,611000","-0,010519","0,021040"
"0,612000","-0,010519","0,026300"
"0,613000","-0,010519","0,021040"
"0,614000","-0,010519","0,021040"
"0,615000","-0,010519","0,021040"
"0,616000","-0,010519","0,021040"
"0,617000","-0,015779","0,021040"
"0,618000","-0,015779","0,021040"
"0,619000","-0,010519","0,021040"
"0,620000","-0,015779","0,015780"
"0,621000","-0,010519","0,021040"
"0,622000","-0,015779","0,015780"
"0,623000","-0,015779","0,015780"
"0,624000","-0,010519","0,021040"
"0,625000","-0,015779","0,021040"
"0,626000","-0,015779","0,021040"
"0,627000","-0,015779","0,015780"
"0,628000","-0,010519","0,015780"
"0,629000","-0,010519","0,015780"
"0,630000","-0,015779","0,015780"
"0,631000","-0,015779","0,015780"
"0,632000","-0,010519","0,015780"
"0,633000","-0,015779","0,010520"
"0,634000","-0,015779","0,015780"
"0,635000","-0,015779","0,015780"
"0,636000","-0,015779","0,015780"
"0,637000","-0,015779","0,015780"
"0,638000","-0,015779","0,015780"
"0,639000","-0,015779","0,015780"
"0,640000","-0,015779","0,015780"
"0,641000","-0,015779","0,015780"
"0,642000","-0,015779","0,015780"
"0,643000","-0,015779","0,015780"
"0,644000","-0,015779","0,010520"
"0,645000","-0,015779","0,015780"
"0,646000","-0,015779","0,015780"
"0,647000","-0,015779","0,010520"
"0,648000","-0,015779","0,015780"
"0,649000","-0,015779","0,010520"
"0,650000","-0,015779","0,015780"
"0,651000","-0,021039","0,010520"
"0,652000","-0,015779","0,010520"
"0,653000","-0,015779","0,015780"
"0,654000","-0,021039","0,010520"
"0,655000","-0,015779","0,015780"
"0,656000","-0,015779","0,010520"
"0,657000","-0,021039","0,010520"
"0,658000","-0,015779","0,010520"
"0,659000","-0,021039","0,010520"
"0,660000","-0,021039","0,010520"
"0,661000","-0,021039","0,010520"
"0,662000","-0,015779","0,010520"
"0,663000","-0,021039","0,010520"
"0,664000","-0,021039","0,010520"
"0,665000","-0,021039","0,010520"
"0,666000","-0,021039","0,005260"
"0,667000","-0,021039","0,010520"
"0,668000","-0,021039","0,005260"
"0,669000","-0,021039","0,010520"
"0,670000","-0,021039","0,010520"
"0,671000","-0,021039","0,005260"
"0,672000","-0,021039","0,005260"
"0,673000","-0,021039","0,005260"
"0,674000","-0,021039","0,005260"
"0,675000","-0,026298","0,005260"
"0,676000","-0,021039","0,005260"
"0,677000","-0,021039","0,010520"
"0,678000","-0,021039","0,005260"
"0,679000","-0,026298","0,010520"
"0,680000","-0,021039","0,005260"
"0,681000","-0,026298","0,005260"
"0,682000","-0,026298","0,005260"
"0,683000","-0,026298","0,005260"
"0,684000","-0,026298","0,000000"
"0,685000","-0,021039","0,005260"
"0,686000","-0,026298","0,005260"
"0,687000","-0,026298","0,000000"
"0,688000","-0,026298","0,005260"
"0,689000","-0,026298","0,005260"
"0,690000","-0,026298","0,000000"
"0,691000","-0,026298","0,005260"
"0,692000","-0,026298","0,005260"
"0,693000","-0,026298","0,000000"
"0,694000","-0,026298","0,000000"
"0,695000","-0,031558","0,000000"
"0,696000","-0,026298","0,000000"
"0,697000","-0,026298","0,000000"
"0,698000","-0,031558","0,000000"
"0,699000","-0,026298","0,000000"
"0,700000","-0,026298","0,000000"
"0,701000","-0,026298","0,000000"
"0,702000","-0,026298","0,000000"
"0,703000","-0,026298","-0,005260"
"0,704000","-0,031558","0,000000"
"0,705000","-0,026298","0,000000"
"0,706000","-0,031558","0,000000"
"0,707000","-0,026298","0,000000"
"0,708000","-0,026298","0,000000"
"0,709000","-0,026298","0,000000"
"0,710000","-0,026298","0,000000"
"0,711000","-0,026298","0,000000"
"0,712000","-0,026298","-0,005260"
"0,713000","-0,031558","-0,005260"
"0,714000","-0,031558","0,000000"
"0,715000","-0,031558","0,000000"
"0,716000","-0,031558","0,000000"
"0,717000","-0,031558","0,000000"
"0,718000","-0,036818","0,000000"
"0,719000","-0,031558","-0,005260"
"0,720000","-0,031558","0,000000"
"0,721000","-0,031558","-0,005260"
"0,722000","-0,031558","-0,005260"
"0,723000","-0,031558","-0,005260"
"0,724000","-0,031558","-0,005260"
"0,725000","-0,031558","-0,005260"
"0,726000","-0,031558","-0,005260"
"0,727000","-0,031558","-0,005260"
"0,728000","-0,031558","-0,005260"
"0,729000","-0,031558","-0,005260"
"0,730000","-0,031558","-0,005260"
"0,731000","-0,031558","-0,005260"
"0,732000","-0,031558","-0,005260"
"0,733000","-0,031558","-0,005260"
"0,734000","-0,036818","-0,005260"
"0,735000","-0,031558","-0,005260"
"0,736000","-0,031558","-0,005260"
"0,737000","-0,036818","-0,010520"
"0,738000","-0,031558","-0,010520"
"0,739000","-0,031558","-0,010520"
"0,740000","-0,031558","-0,010520"
"0,741000","-0,036818","-0,005260"
"0,742000","-0,036818","-0,005260"
"0,743000","-0,036818","-0,010520"
"0,744000","-0,036818","-0,010520"
"0,745000","-0,036818","-0,010520"
"0,746000","-0,031558","-0,010520"
"0,747000","-0,036818","-0,010520"
"0,748000","-0,036818","-0,010520"
"0,749000","-0,036818","-0,010520"
"0,750000","-0,036818","-0,010520"
"0,751000","-0,036818","-0,010520"
"0,752000","-0,036818","-0,010520"
"0,753000","-0,036818","-0,010520"
"0,754000","-0,036818","-0,010520"
"0,755000","-0,036818","-0,010520"
"0,756000","-0,036818","-0,015780"
"0,757000","-0,036818","-0,015780"
"0,758000","-0,036818","-0,015780"
"0,759000","-0,036818","-0,010520"
"0,760000","-0,036818","-0,010520"
"0,761000","-0,036818","-0,010520"
"0,762000","-0,036818","-0,010520"
"0,763000","-0,036818","-0,015780"
"0,764000","-0,031558","-0,015780"
"0,765000","-0,036818","-0,015780"
"0,766000","-0,036818","-0,015780"
"0,767000","-0,036818","-0,015780"
"0,768000","-0,036818","-0,015780"
"0,769000","-0,042077","-0,015780"
"0,770000","-0,036818","-0,015780"
"0,771000","-0,036818","-0,010520"
"0,772000","-0,036818","-0,015780"
"0,773000","-0,036818","-0,015780"
"0,774000","-0,036818","-0,015780"
"0,775000","-0,042077","-0,015780"
"0,776000","-0,042077","-0,015780"
"0,777000","-0,036818","-0,015780"
"0,778000","-0,042077","-0,015780"
"0,779000","-0,042077","-0,021040"
"0,780000","-0,042077","-0,015780"
"0,781000","-0,036818","-0,015780"
"0,782000","-0,042077","-0,021040"
"0,783000","-0,042077","-0,021040"
"0,784000","-0,042077","-0,015780"
"0,785000","-0,036818","-0,015780"
"0,786000","-0,042077","-0,015780"
"0,787000","-0,042077","-0,015780"
"0,788000","-0,042077","-0,015780"
"0,789000","-0,042077","-0,015780"
"0,790000","-0,042077","-0,015780"
"0,791000","-0,047337","-0,015780"
"0,792000","-0,042077","-0,021040"
"0,793000","-0,042077","-0,021040"
"0,794000","-0,042077","-0,015780"
"0,795000","-0,042077","-0,021040"
"0,796000","-0,042077","-0,021040"
"0,797000","-0,042077","-0,021040"
