t,(s),U1(V),U2(V)
"0,279000","-0,220907","-0,036820",
"0,280000","-0,220907","-0,036820",
"0,281000","-0,220907","-0,031560",
"0,282000","-0,220907","-0,031560",
"0,283000","-0,220907","-0,036820",
"0,284000","-0,215647","-0,036820",
"0,285000","-0,215647","-0,036820",
"0,286000","-0,215647","-0,031560",
"0,287000","-0,215647","-0,036820",
"0,288000","-0,215647","-0,036820",
"0,289000","-0,215647","-0,031560",
"0,290000","-0,210387","-0,036820",
"0,291000","-0,210387","-0,031560",
"0,292000","-0,215647","-0,036820",
"0,293000","-0,215647","-0,036820",
"0,294000","-0,210387","-0,036820",
"0,295000","-0,210387","-0,036820",
"0,296000","-0,210387","-0,036820",
"0,297000","-0,210387","-0,031560",
"0,298000","-0,210387","-0,031560",
"0,299000","-0,210387","-0,031560",
"0,300000","-0,210387","-0,036820",
"0,301000","-0,210387","-0,036820",
"0,302000","-0,205128","-0,036820",
"0,303000","-0,210387","-0,036820",
"0,304000","-0,205128","-0,036820",
"0,305000","-0,205128","-0,036820",
"0,306000","-0,205128","-0,031560",
"0,307000","-0,205128","-0,036820",
"0,308000","-0,205128","-0,036820",
"0,309000","-0,205128","-0,036820",
"0,310000","-0,205128","-0,031560",
"0,311000","-0,205128","-0,036820",
"0,312000","-0,199868","-0,036820",
"0,313000","-0,199868","-0,031560",
"0,314000","-0,199868","-0,031560",
"0,315000","-0,199868","-0,031560",
"0,316000","-0,199868","-0,031560",
"0,317000","-0,199868","-0,036820",
"0,318000","-0,199868","-0,036820",
"0,319000","-0,199868","-0,031560",
"0,320000","-0,199868","-0,031560",
"0,321000","-0,194608","-0,031560",
"0,322000","-0,194608","-0,031560",
"0,323000","-0,194608","-0,036820",
"0,324000","-0,194608","-0,031560",
"0,325000","-0,194608","-0,031560",
"0,326000","-0,194608","-0,031560",
"0,327000","-0,194608","-0,036820",
"0,328000","-0,194608","-0,036820",
"0,329000","-0,194608","-0,036820",
"0,330000","-0,189349","-0,031560",
"0,331000","-0,194608","-0,031560",
"0,332000","-0,189349","-0,036820",
"0,333000","-0,189349","-0,036820",
"0,334000","-0,189349","-0,036820",
"0,335000","-0,184089","-0,031560",
"0,336000","-0,189349","-0,031560",
"0,337000","-0,184089","-0,036820",
"0,338000","-0,184089","-0,036820",
"0,339000","-0,184089","-0,036820",
"0,340000","-0,184089","-0,031560",
"0,341000","-0,184089","-0,031560",
"0,342000","-0,184089","-0,036820",
"0,343000","-0,184089","-0,031560",
"0,344000","-0,184089","-0,031560",
"0,345000","-0,178829","-0,031560",
"0,346000","-0,184089","-0,031560",
"0,347000","-0,178829","-0,031560",
"0,348000","-0,178829","-0,036820",
"0,349000","-0,178829","-0,036820",
"0,350000","-0,173570","-0,036820",
"0,351000","-0,178829","-0,036820",
"0,352000","-0,173570","-0,031560",
"0,353000","-0,173570","-0,031560",
"0,354000","-0,173570","-0,031560",
"0,355000","-0,173570","-0,031560",
"0,356000","-0,173570","-0,031560",
"0,357000","-0,173570","-0,031560",
"0,358000","-0,173570","-0,036820",
"0,359000","-0,173570","-0,036820",
"0,360000","-0,173570","-0,031560",
"0,361000","-0,168310","-0,031560",
"0,362000","-0,168310","-0,036820",
"0,363000","-0,173570","-0,031560",
"0,364000","-0,168310","-0,031560",
"0,365000","-0,168310","-0,031560",
"0,366000","-0,163050","-0,031560",
"0,367000","-0,163050","-0,031560",
"0,368000","-0,163050","-0,031560",
"0,369000","-0,163050","-0,031560",
"0,370000","-0,168310","-0,031560",
"0,371000","-0,163050","-0,031560",
"0,372000","-0,163050","-0,036820",
"0,373000","-0,163050","-0,031560",
"0,374000","-0,163050","-0,031560",
"0,375000","-0,163050","-0,031560",
"0,376000","-0,163050","-0,031560",
"0,377000","-0,157791","-0,031560",
"0,378000","-0,157791","-0,031560",
"0,379000","-0,157791","-0,031560",
"0,380000","-0,152531","-0,031560",
"0,381000","-0,157791","-0,031560",
"0,382000","-0,157791","-0,031560",
"0,383000","-0,157791","-0,031560",
"0,384000","-0,157791","-0,031560",
"0,385000","-0,152531","-0,031560",
"0,386000","-0,152531","-0,031560",
"0,387000","-0,152531","-0,031560",
"0,388000","-0,152531","-0,031560",
"0,389000","-0,152531","-0,031560",
"0,390000","-0,152531","-0,031560",
"0,391000","-0,147271","-0,031560",
"0,392000","-0,147271","-0,031560",
"0,393000","-0,152531","-0,031560",
"0,394000","-0,147271","-0,031560",
"0,395000","-0,147271","-0,031560",
"0,396000","-0,147271","-0,031560",
"0,397000","-0,142011","-0,031560",
"0,398000","-0,147271","-0,031560",
"0,399000","-0,142011","-0,031560",
"0,400000","-0,142011","-0,031560",
"0,401000","-0,142011","-0,031560",
"0,402000","-0,142011","-0,031560",
"0,403000","-0,136752","-0,031560",
"0,404000","-0,136752","-0,031560",
"0,405000","-0,136752","-0,031560",
"0,406000","-0,136752","-0,031560",
"0,407000","-0,136752","-0,026300",
"0,408000","-0,136752","-0,026300",
"0,409000","-0,136752","-0,031560",
"0,410000","-0,136752","-0,026300",
"0,411000","-0,136752","-0,031560",
"0,412000","-0,131492","-0,031560",
"0,413000","-0,131492","-0,031560",
"0,414000","-0,131492","-0,026300",
"0,415000","-0,131492","-0,031560",
"0,416000","-0,131492","-0,031560",
"0,417000","-0,131492","-0,026300",
"0,418000","-0,126232","-0,026300",
"0,419000","-0,126232","-0,031560",
"0,420000","-0,126232","-0,031560",
"0,421000","-0,126232","-0,031560",
"0,422000","-0,126232","-0,031560",
"0,423000","-0,126232","-0,026300",
"0,424000","-0,126232","-0,026300",
"0,425000","-0,120973","-0,031560",
"0,426000","-0,120973","-0,031560",
"0,427000","-0,120973","-0,031560",
"0,428000","-0,120973","-0,031560",
"0,429000","-0,120973","-0,031560",
"0,430000","-0,120973","-0,026300",
"0,431000","-0,120973","-0,026300",
"0,432000","-0,120973","-0,026300",
"0,433000","-0,115713","-0,031560",
"0,434000","-0,115713","-0,026300",
"0,435000","-0,120973","-0,026300",
"0,436000","-0,115713","-0,026300",
"0,437000","-0,115713","-0,026300",
"0,438000","-0,115713","-0,026300",
"0,439000","-0,110453","-0,026300",
"0,440000","-0,110453","-0,026300",
"0,441000","-0,105194","-0,026300",
"0,442000","-0,110453","-0,026300",
"0,443000","-0,105194","-0,026300",
"0,444000","-0,105194","-0,026300",
"0,445000","-0,105194","-0,026300",
"0,446000","-0,105194","-0,026300",
"0,447000","-0,105194","-0,026300",
"0,448000","-0,105194","-0,026300",
"0,449000","-0,105194","-0,026300",
"0,450000","-0,099934","-0,026300",
"0,451000","-0,099934","-0,026300",
"0,452000","-0,099934","-0,026300",
"0,453000","-0,099934","-0,026300",
"0,454000","-0,099934","-0,026300",
"0,455000","-0,099934","-0,026300",
"0,456000","-0,099934","-0,026300",
"0,457000","-0,099934","-0,026300",
"0,458000","-0,094674","-0,026300",
"0,459000","-0,094674","-0,026300",
"0,460000","-0,094674","-0,026300",
"0,461000","-0,094674","-0,026300",
"0,462000","-0,094674","-0,026300",
"0,463000","-0,089415","-0,026300",
"0,464000","-0,089415","-0,026300",
"0,465000","-0,089415","-0,026300",
"0,466000","-0,089415","-0,026300",
"0,467000","-0,089415","-0,026300",
"0,468000","-0,084155","-0,026300",
"0,469000","-0,089415","-0,021040",
"0,470000","-0,089415","-0,026300",
"0,471000","-0,084155","-0,026300",
"0,472000","-0,084155","-0,026300",
"0,473000","-0,084155","-0,026300",
"0,474000","-0,078895","-0,021040",
"0,475000","-0,078895","-0,026300",
"0,476000","-0,078895","-0,026300",
"0,477000","-0,078895","-0,021040",
"0,478000","-0,078895","-0,021040",
"0,479000","-0,078895","-0,021040",
"0,480000","-0,078895","-0,026300",
"0,481000","-0,078895","-0,021040",
"0,482000","-0,073636","-0,026300",
"0,483000","-0,073636","-0,021040",
"0,484000","-0,073636","-0,021040",
"0,485000","-0,073636","-0,021040",
"0,486000","-0,073636","-0,021040",
"0,487000","-0,073636","-0,021040",
"0,488000","-0,068376","-0,026300",
"0,489000","-0,068376","-0,021040",
"0,490000","-0,068376","-0,021040",
"0,491000","-0,068376","-0,021040",
"0,492000","-0,063116","-0,021040",
"0,493000","-0,068376","-0,021040",
"0,494000","-0,063116","-0,026300",
"0,495000","-0,063116","-0,021040",
"0,496000","-0,063116","-0,021040",
"0,497000","-0,057857","-0,021040",
"0,498000","-0,057857","-0,021040",
"0,499000","-0,063116","-0,021040",
"0,500000","-0,057857","-0,021040",
"0,501000","-0,057857","-0,021040",
"0,502000","-0,057857","-0,021040",
"0,503000","-0,057857","-0,021040",
"0,504000","-0,057857","-0,021040",
"0,505000","-0,057857","-0,021040",
"0,506000","-0,052597","-0,021040",
"0,507000","-0,052597","-0,021040",
"0,508000","-0,052597","-0,021040",
"0,509000","-0,052597","-0,021040",
"0,510000","-0,052597","-0,021040",
"0,511000","-0,047337","-0,021040",
"0,512000","-0,047337","-0,021040",
"0,513000","-0,047337","-0,021040",
"0,514000","-0,047337","-0,021040",
"0,515000","-0,047337","-0,021040",
"0,516000","-0,047337","-0,021040",
"0,517000","-0,042077","-0,021040",
"0,518000","-0,042077","-0,021040",
"0,519000","-0,042077","-0,021040",
"0,520000","-0,042077","-0,015780",
"0,521000","-0,036818","-0,021040",
"0,522000","-0,042077","-0,021040",
"0,523000","-0,042077","-0,015780",
"0,524000","-0,036818","-0,021040",
"0,525000","-0,036818","-0,021040",
"0,526000","-0,036818","-0,021040",
"0,527000","-0,036818","-0,021040",
"0,528000","-0,036818","-0,015780",
"0,529000","-0,031558","-0,021040",
"0,530000","-0,031558","-0,021040",
"0,531000","-0,031558","-0,015780",
"0,532000","-0,031558","-0,015780",
"0,533000","-0,031558","-0,015780",
"0,534000","-0,031558","-0,015780",
"0,535000","-0,026298","-0,015780",
"0,536000","-0,026298","-0,015780",
"0,537000","-0,026298","-0,015780",
"0,538000","-0,026298","-0,015780",
"0,539000","-0,026298","-0,015780",
"0,540000","-0,021039","-0,015780",
"0,541000","-0,021039","-0,015780",
"0,542000","-0,015779","-0,015780",
"0,543000","-0,015779","-0,015780",
"0,544000","-0,015779","-0,015780",
"0,545000","-0,021039","-0,015780",
"0,546000","-0,021039","-0,015780",
"0,547000","-0,015779","-0,015780",
"0,548000","-0,015779","-0,015780",
"0,549000","-0,015779","-0,015780",
"0,550000","-0,010519","-0,015780",
"0,551000","-0,015779","-0,015780",
"0,552000","-0,015779","-0,015780",
"0,553000","-0,010519","-0,015780",
"0,554000","-0,005260","-0,015780",
"0,555000","-0,010519","-0,015780",
"0,556000","-0,010519","-0,010520",
"0,557000","-0,005260","-0,015780",
"0,558000","-0,010519","-0,010520",
"0,559000","-0,005260","-0,015780",
"0,560000","-0,005260","-0,010520",
"0,561000","-0,005260","-0,015780",
"0,562000","0,000000","-0,015780",
"0,563000","-0,005260","-0,015780",
"0,564000","0,000000","-0,015780",
"0,565000","0,000000","-0,010520",
"0,566000","0,000000","-0,010520",
"0,567000","0,005260","-0,015780",
"0,568000","0,000000","-0,010520",
"0,569000","0,000000","-0,015780",
"0,570000","0,005260","-0,010520",
"0,571000","0,000000","-0,010520",
"0,572000","0,005260","-0,010520",
"0,573000","0,010519","-0,010520",
"0,574000","0,010519","-0,010520",
"0,575000","0,005260","-0,010520",
"0,576000","0,010519","-0,010520",
"0,577000","0,010519","-0,010520",
"0,578000","0,010519","-0,010520",
"0,579000","0,010519","-0,005260",
"0,580000","0,010519","-0,010520",
"0,581000","0,015779","-0,010520",
"0,582000","0,015779","-0,015780",
"0,583000","0,015779","-0,010520",
"0,584000","0,015779","-0,010520",
"0,585000","0,015779","-0,010520",
"0,586000","0,021039","-0,010520",
"0,587000","0,015779","-0,010520",
"0,588000","0,021039","-0,010520",
"0,589000","0,021039","-0,010520",
"0,590000","0,021039","-0,010520",
"0,591000","0,026298","-0,010520",
"0,592000","0,021039","-0,010520",
"0,593000","0,026298","-0,010520",
"0,594000","0,021039","-0,010520",
"0,595000","0,026298","-0,010520",
"0,596000","0,026298","-0,010520",
"0,597000","0,026298","-0,010520",
"0,598000","0,026298","-0,010520",
"0,599000","0,026298","-0,005260",
"0,600000","0,026298","-0,010520",
"0,601000","0,031558","-0,010520",
"0,602000","0,036818","-0,010520",
"0,603000","0,036818","-0,005260",
"0,604000","0,036818","-0,005260",
"0,605000","0,036818","-0,010520",
"0,606000","0,036818","-0,005260",
"0,607000","0,036818","-0,010520",
"0,608000","0,036818","-0,005260",
"0,609000","0,042077","-0,005260",
"0,610000","0,042077","-0,005260",
"0,611000","0,042077","-0,005260",
"0,612000","0,042077","-0,005260",
"0,613000","0,042077","-0,005260",
"0,614000","0,042077","-0,010520",
"0,615000","0,042077","-0,005260",
"0,616000","0,036818","-0,005260",
"0,617000","0,047337","-0,005260",
"0,618000","0,047337","-0,005260",
"0,619000","0,042077","-0,005260",
"0,620000","0,047337","-0,005260",
"0,621000","0,047337","-0,005260",
"0,622000","0,047337","-0,005260",
"0,623000","0,052597","-0,005260",
"0,624000","0,052597","-0,005260",
"0,625000","0,052597","-0,005260",
"0,626000","0,052597","-0,005260",
"0,627000","0,052597","-0,005260",
"0,628000","0,052597","0,000000",
"0,629000","0,057857","-0,005260",
"0,630000","0,057857","-0,005260",
"0,631000","0,057857","-0,005260",
"0,632000","0,057857","-0,005260",
"0,633000","0,057857","-0,005260",
"0,634000","0,063116","-0,005260",
"0,635000","0,063116","0,000000",
"0,636000","0,063116","-0,005260",
"0,637000","0,063116","-0,005260",
"0,638000","0,063116","0,000000",
"0,639000","0,063116","-0,005260",
"0,640000","0,063116","0,000000",
"0,641000","0,063116","0,000000",
"0,642000","0,068376","-0,005260",
"0,643000","0,068376","0,000000",
"0,644000","0,068376","0,000000",
"0,645000","0,068376","-0,005260",
"0,646000","0,068376","0,000000",
"0,647000","0,068376","0,000000",
"0,648000","0,073636","0,000000",
"0,649000","0,073636","0,000000",
"0,650000","0,073636","0,000000",
"0,651000","0,073636","0,000000",
"0,652000","0,078895","0,000000",
"0,653000","0,073636","0,000000",
"0,654000","0,078895","0,000000",
"0,655000","0,078895","0,000000",
"0,656000","0,078895","0,000000",
"0,657000","0,078895","0,000000",
"0,658000","0,078895","0,000000",
"0,659000","0,078895","0,000000",
"0,660000","0,084155","0,005260",
"0,661000","0,084155","0,000000",
"0,662000","0,084155","0,005260",
"0,663000","0,084155","0,000000",
"0,664000","0,084155","0,005260",
"0,665000","0,089415","0,000000",
"0,666000","0,089415","0,005260",
"0,667000","0,089415","0,000000",
"0,668000","0,089415","0,000000",
"0,669000","0,089415","0,000000",
"0,670000","0,089415","0,005260",
"0,671000","0,089415","0,005260",
"0,672000","0,089415","0,005260",
"0,673000","0,094674","0,000000",
"0,674000","0,094674","0,005260",
"0,675000","0,094674","0,005260",
"0,676000","0,094674","0,005260",
"0,677000","0,094674","0,005260",
"0,678000","0,099934","0,005260",
"0,679000","0,099934","0,005260",
"0,680000","0,099934","0,005260",
"0,681000","0,099934","0,005260",
"0,682000","0,099934","0,005260",
"0,683000","0,099934","0,005260",
"0,684000","0,099934","0,005260",
"0,685000","0,099934","0,005260",
"0,686000","0,105194","0,005260",
"0,687000","0,105194","0,005260",
"0,688000","0,105194","0,005260",
"0,689000","0,105194","0,005260",
"0,690000","0,105194","0,005260",
"0,691000","0,105194","0,005260",
"0,692000","0,105194","0,005260",
"0,693000","0,110453","0,005260",
"0,694000","0,105194","0,005260",
"0,695000","0,110453","0,005260",
"0,696000","0,110453","0,010520",
"0,697000","0,110453","0,010520",
"0,698000","0,115713","0,005260",
"0,699000","0,110453","0,005260",
"0,700000","0,115713","0,005260",
"0,701000","0,115713","0,005260",
"0,702000","0,115713","0,010520",
"0,703000","0,115713","0,010520",
"0,704000","0,115713","0,010520",
"0,705000","0,120973","0,010520",
"0,706000","0,115713","0,010520",
"0,707000","0,120973","0,010520",
"0,708000","0,120973","0,010520",
"0,709000","0,120973","0,010520",
"0,710000","0,120973","0,010520",
"0,711000","0,120973","0,010520",
"0,712000","0,120973","0,010520",
"0,713000","0,126232","0,010520",
"0,714000","0,126232","0,010520",
"0,715000","0,126232","0,010520",
"0,716000","0,126232","0,010520",
"0,717000","0,126232","0,010520",
"0,718000","0,126232","0,010520",
"0,719000","0,126232","0,010520",
"0,720000","0,126232","0,010520",
"0,721000","0,126232","0,010520",
"0,722000","0,131492","0,015780",
"0,723000","0,131492","0,015780",
"0,724000","0,131492","0,010520",
"0,725000","0,131492","0,010520",
"0,726000","0,131492","0,010520",
"0,727000","0,131492","0,010520",
"0,728000","0,131492","0,010520",
"0,729000","0,136752","0,010520",
"0,730000","0,136752","0,015780",
"0,731000","0,136752","0,010520",
"0,732000","0,136752","0,015780",
"0,733000","0,142011","0,010520",
"0,734000","0,142011","0,010520",
"0,735000","0,136752","0,015780",
"0,736000","0,142011","0,015780",
"0,737000","0,142011","0,015780",
"0,738000","0,142011","0,015780",
"0,739000","0,142011","0,015780",
"0,740000","0,142011","0,015780",
"0,741000","0,142011","0,015780",
"0,742000","0,147271","0,015780",
"0,743000","0,147271","0,015780",
"0,744000","0,147271","0,015780",
"0,745000","0,147271","0,015780",
"0,746000","0,147271","0,015780",
"0,747000","0,147271","0,015780",
"0,748000","0,152531","0,015780",
"0,749000","0,152531","0,015780",
